AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,CustomerID,Churn
42,11.32195032980162,475.5219138516681,Basic,Electronic check,1,Movies,1,Tablet,0.3868523189909584,24.59336128901439,25,Comedy,3.489464519485509,7,Female,15,0,LOHRYYC9E8,0
95,12.8109146006735,1217.0368870639825,Standard,Electronic check,1,TV Shows,0,Mobile,37.122999911467,102.86079509716252,21,Comedy,2.251859954914927,3,Male,8,0,RIH7RFEZCS,0
6,12.169887642924763,91.58330353602958,Standard,Credit card,1,TV Shows,0,Tablet,30.7169444023015,10.51241512260625,29,Fantasy,2.898327886528814,4,Male,14,0,JB5J8X2UY1,1
54,17.917818962876396,967.5622239953254,Basic,unknown,1,Movies,0,Mobile,2.4953729601821766,45.24683449226995,45,Drama,1.275003599306649,3,Male,12,0,Z4GZJIB90P,0
27,12.169887642924763,339.05724384123715,Basic,Mailed check,0,TV Shows,0,Mobile,39.93691005346959,94.31095420850131,44,Comedy,3.236229818039165,4,Female,18,0,B3BDJTW0L9,0
71,12.169887642924763,818.2870537568413,Premium,Credit card,0,Movies,1,Computer,7.310172114483848,123.28079409280006,30,Comedy,2.7796143639640785,6,Female,16,1,5E4TQK5OVX,0
69,17.145910434759166,1183.0678199983824,Basic,unknown,0,Movies,1,Mobile,19.008899942021955,86.12255889350608,35,Sci-Fi,4.933494480322786,6,Female,5,0,8VFNZ1M1I9,1
76,17.46187534634668,1327.1025263223478,Premium,Electronic check,0,Movies,1,Mobile,24.429413494384104,137.5578744789226,32,Fantasy,2.1547371507439013,9,Female,11,1,THKWUHOGUL,0
8,12.169887642924763,614.1966063716278,Premium,Electronic check,0,Both,1,Computer,15.488912506556066,137.55294155226025,16,Fantasy,2.898327886528814,3,Female,2,0,IGZ39O1ROC,0
26,19.69926162787429,512.1808023247314,Premium,Credit card,1,Both,1,unknown,2.1217624569231868,164.0736426680405,44,Drama,1.72570039826283,4,Male,16,1,JHTQYVGRR4,1
102,12.169887642924763,1954.784655794702,Premium,unknown,0,Movies,1,Mobile,38.91923861703344,5.028411809068291,29,unknown,2.683852930153724,6,Male,19,1,W636FZ4VNV,1
101,12.169887642924763,639.2830572377612,Standard,Electronic check,0,Both,0,Computer,16.06235631667653,74.34797146927649,11,Drama,3.836933094328382,2,Female,12,1,CAS3XBFUJG,0
83,9.270358698753164,769.4397719965126,Standard,Electronic check,0,Movies,1,Tablet,10.008655029706922,25.531249352094232,32,Action,2.5519762065415463,9,Male,17,0,Y66SW76TPC,1
10,8.078494236284286,614.1966063716278,Standard,Mailed check,0,TV Shows,0,Mobile,29.184743436936618,155.7927759665253,0,Fantasy,2.898327886528814,2,Female,2,0,BEREY4ZEQN,0
8,5.72871245000111,45.82969960000888,Standard,Credit card,0,Movies,1,Computer,39.391883816119766,66.40771735757477,38,Drama,2.898327886528814,0,Female,18,0,ORSECJMYNH,0
6,13.765035665546437,614.1966063716278,Premium,Electronic check,1,Both,1,Mobile,7.054925488966616,45.614267199032,22,Action,3.834114298091446,1,Female,7,0,HI8VKLPO25,0
2,12.169887642924763,15.637027909928785,Standard,Credit card,0,TV Shows,0,Tablet,39.36300166387026,55.83542583110676,43,Comedy,2.0293354975564264,4,Male,6,0,6RWHGUCAB4,0
83,16.263146505136994,1349.8411599263704,Premium,Bank transfer,0,TV Shows,0,unknown,6.3726074194387925,128.5922697932727,23,Sci-Fi,2.898327886528814,7,Male,13,1,7CC943AY0R,0
23,13.95714485592174,321.0143316862,Premium,unknown,1,Both,0,Tablet,13.16752730588239,80.1188619906361,0,Comedy,1.8648241717764984,8,Male,1,0,Y7COZUAXRR,0
23,12.169887642924763,145.23511010410198,Standard,unknown,1,Both,0,Tablet,19.630860220030947,64.04791230426866,27,Action,1.742696347909828,9,Female,23,0,7O0U49OF9M,0
24,12.169887642924763,310.46702447500434,Standard,unknown,1,Both,0,TV,15.431673030605808,65.11007500357869,31,Sci-Fi,2.898327886528814,1,Male,16,0,KWCJPZTMBZ,1
87,15.000899788532776,1305.0782816023516,unknown,Bank transfer,1,TV Shows,1,TV,37.83699164157948,121.85215558143412,29,Action,4.647866618430838,4,Female,13,0,A92ZOG2V1J,0
63,6.635013133011577,614.1966063716278,Premium,Credit card,0,TV Shows,1,Mobile,35.34919183774297,172.6618112615645,32,Comedy,1.0117453569134436,6,Female,20,0,RZUWX2CJ0Q,0
78,19.852110570721035,1548.4646245162407,Basic,Electronic check,1,Movies,0,TV,29.40402475928132,80.22383068354559,13,unknown,2.2747220054131154,2,Male,0,1,VJN9GFI0OP,0
97,13.48847457664928,1308.3820339349802,Standard,Mailed check,1,TV Shows,1,TV,23.75808451173184,56.56707686243463,20,Action,2.898327886528814,7,Male,3,0,LNQN935XS9,1
2,15.426668190323372,30.853336380646745,Premium,Electronic check,0,TV Shows,0,Mobile,31.323503280378333,152.0381778776287,41,Comedy,2.597518511086008,3,Male,24,1,S0QK1ZQ4ZB,0
85,15.034775599045052,614.1966063716278,Premium,Mailed check,1,Both,1,TV,10.55981728464131,69.41633740528245,37,Drama,4.270866362857641,2,Female,21,0,X0MDEL63NZ,0
89,15.37183293775692,614.1966063716278,Standard,unknown,0,Both,0,Mobile,30.170199239850984,176.56925376817549,41,Comedy,1.0694673415242488,6,Female,5,0,4T29LDSLLN,0
77,7.780374374436769,599.0888268316312,Basic,unknown,1,TV Shows,1,Computer,23.81261425762337,62.44375432751656,28,Action,4.792037837995127,4,Female,0,1,318N9SO05V,1
113,19.61499197448325,2216.494093116607,Basic,Credit card,0,TV Shows,0,Mobile,29.14664661143008,83.65440622475244,24,Fantasy,3.18802084888976,3,Male,8,1,CBDV730UOG,0
8,12.169887642924763,51.21753685131792,Premium,Mailed check,0,Both,1,Tablet,31.286757599044304,54.57718275763445,47,unknown,4.568875141081065,0,Female,8,0,VCB3X9ZM3S,0
103,10.72652906711127,1104.832493912461,Standard,Bank transfer,1,TV Shows,1,TV,20.755264400793383,115.098616798753,15,Drama,2.087612906686388,9,Male,11,0,4TXBLWD375,0
76,8.794010017425707,614.1966063716278,Basic,unknown,0,Movies,1,Mobile,24.40932020191881,161.45067852325676,27,Fantasy,1.274403987642387,0,Male,13,0,J2ZTONJLMC,0
106,14.24087124250168,1509.532351705178,Standard,Credit card,0,TV Shows,0,Computer,15.288274315885134,59.98049838247941,35,Fantasy,2.898327886528814,3,Male,13,0,0KJGVNJL8N,0
7,12.493820459927742,87.45674321949419,Premium,unknown,1,Movies,0,Tablet,14.224183704705103,95.4209057512576,36,Action,4.337422212878522,6,Male,4,0,5JBY0JE8LF,0
82,12.169887642924763,614.1966063716278,Standard,unknown,1,TV Shows,1,TV,37.79171269856935,117.24086935873112,37,Comedy,2.898327886528814,0,Female,11,1,56V1FDEX23,0
26,12.633261108284174,328.4647888153885,Basic,Bank transfer,1,Movies,1,unknown,25.53507700044215,155.67576810534135,37,Comedy,2.3234199409961307,0,Female,20,1,SCEJCH4OP4,1
66,13.751909490384248,907.6260263653604,Basic,Bank transfer,1,Movies,0,Mobile,20.39577293671369,102.4710880578844,42,Fantasy,2.430666670590388,6,Male,4,0,EB0W1QH7VZ,0
37,15.41815522623574,614.1966063716278,Basic,unknown,1,TV Shows,1,Computer,38.25352607881618,70.51122846066578,20,Fantasy,4.198958694484318,9,Male,21,1,S5WIVFDNN0,0
72,14.910685765173415,1073.569375092486,Basic,Credit card,1,TV Shows,1,Mobile,26.28452440312375,38.17272233147202,37,Fantasy,4.397418070128925,0,Male,16,1,AZAQP5JFUX,0
18,15.622713707928243,281.20884674270843,Standard,Bank transfer,1,Both,1,TV,27.032723149521026,53.38442130649877,35,Comedy,4.823201147092407,2,Female,6,0,94GUYMPU6T,0
105,14.770331511590785,1550.8848087170325,Standard,Electronic check,0,Movies,0,TV,22.18689102743464,113.69526861982604,44,Fantasy,4.781657655972802,5,Female,12,1,0H9S6H654F,0
20,6.880638282778266,614.1966063716278,Premium,unknown,0,TV Shows,0,Computer,28.1204665445764,156.81588274842923,42,unknown,3.5058337375635764,4,Male,12,1,FH0H23YW0M,0
45,18.51943603089383,833.3746213902223,Premium,unknown,1,TV Shows,0,Computer,25.07038796175069,110.35997094459236,14,Sci-Fi,3.883595451712859,0,Male,7,1,IUW1HLES8S,1
15,7.465709217067742,111.98563825601612,Standard,Bank transfer,0,Both,0,Computer,20.453793134132155,77.54316293007034,0,Fantasy,1.070033825144502,6,Female,8,0,E6LQV6844N,0
74,12.169887642924763,861.7870609024834,Standard,Credit card,0,Both,1,Computer,12.399784853548711,114.40517551602056,17,Sci-Fi,3.107525294056259,8,Female,6,0,59G4MT5L0S,0
46,9.791247181094892,450.39737033036505,Basic,Bank transfer,1,Both,1,TV,33.68800512862189,111.83169639823824,25,Comedy,2.0800260357006044,6,Female,10,0,PRI44P2JBT,0
62,9.796647367960356,607.3921368135422,Standard,Electronic check,0,TV Shows,0,unknown,38.47671814433908,97.46887977509935,22,Comedy,2.898327886528814,7,Female,2,0,MMNA6RJYF5,0
19,18.4359708211912,350.28344560263275,Basic,Credit card,0,Both,1,Mobile,2.4838697993021905,173.70379720765953,22,Action,2.898327886528814,0,Female,24,0,HKLEITP1IA,0
6,9.523391902793827,57.14035141676297,Premium,Credit card,0,Movies,1,Computer,25.28678129535825,44.07854950880273,8,Action,2.898327886528814,0,Female,2,0,T2ED1KDVR6,0
23,7.72548589747683,177.68617564196708,Basic,Credit card,0,TV Shows,0,Mobile,19.59306914873033,32.36622394010151,7,Comedy,3.1016833237109043,0,Female,20,0,DFIYIYM3TK,0
109,11.305518353339531,614.1966063716278,Standard,Bank transfer,0,Both,1,TV,35.449429642459165,163.47997195935758,43,Action,3.938040847586408,2,Male,8,1,FZRJKPERVZ,0
26,11.209422074926596,291.4449739480915,Basic,Bank transfer,0,Movies,1,Tablet,5.228049854115215,22.44377291373981,24,Action,3.1983717045701776,0,Male,18,0,OAWTET09CW,0
119,13.502818692542355,614.1966063716278,Standard,Electronic check,1,TV Shows,1,TV,12.111862390268156,12.49848119461238,26,Drama,3.455806596355476,7,Female,22,1,KM2QC8SV7C,0
45,7.738310174232479,348.2239578404616,Basic,Electronic check,0,TV Shows,0,TV,26.94994499253555,57.08792657124925,40,Fantasy,3.569271084495916,7,Female,6,1,U7BU2SCCHI,0
111,12.169887642924763,1259.004388697121,Premium,Bank transfer,0,Movies,1,Mobile,38.25103033944436,142.52112960853452,13,Comedy,4.24328076241142,7,Male,15,1,53S9CYHTXM,0
104,6.732794665165834,614.1966063716278,Premium,Mailed check,0,Both,1,Computer,21.263146026496035,49.51944256364908,43,Action,2.898327886528814,7,unknown,6,0,KFXH24VCIX,0
110,12.169887642924763,1412.0448147554584,Standard,Credit card,0,Both,0,Computer,27.64704282302408,100.4340654839757,43,Action,3.438805869644558,5,Male,8,0,QDLZNIKBDV,0
67,12.90821229112442,864.8502235053362,Premium,Bank transfer,1,Both,1,Computer,10.821285023113234,23.244959103073377,17,Sci-Fi,2.538593485203901,1,Male,20,1,VOLEP42RI4,0
105,5.236173024650985,549.7981675883534,Basic,unknown,0,Both,0,Mobile,11.59964825286882,61.33455709410255,19,Comedy,2.135444217046408,9,Male,3,0,2PV3FKTEN7,0
45,5.062338714057963,227.8052421326084,Basic,unknown,0,Both,0,Mobile,29.512398661672066,86.60190000273313,24,Sci-Fi,1.2554063020314763,4,Male,3,0,BAHIPO8823,0
12,19.64808306724581,235.77699680694977,Premium,Electronic check,1,Movies,1,Mobile,12.55071309277034,169.23743385172318,21,Fantasy,4.365473530497493,5,Male,22,1,XIB5D3UHRB,0
105,9.182763472386728,964.1901646006064,Basic,Electronic check,1,Movies,1,Computer,24.43151034759372,91.3734235281412,49,Comedy,2.898327886528814,4,Male,0,0,G48SX3KH6A,0
11,12.169887642924763,614.1966063716278,Basic,Electronic check,0,Movies,0,Computer,39.29819412529325,48.35721110573631,46,Fantasy,2.9625426064976086,9,Female,0,1,8CGM9OR85P,0
52,11.280972210517136,614.1966063716278,Standard,unknown,0,TV Shows,0,Tablet,3.688284056800218,64.0773515497817,7,Drama,2.898327886528814,1,Male,19,1,ZXKZKRKVDN,0
21,16.673054107134362,350.1341362498216,unknown,Credit card,0,Both,1,TV,33.271237927537186,96.7762621366086,44,unknown,3.175287540857471,8,Male,22,1,NF9RGTY4VD,0
16,9.322244538046045,149.15591260873668,Basic,Credit card,0,TV Shows,0,Computer,21.436778832844816,173.1410030561647,7,Fantasy,2.5514801178914777,4,Male,8,1,YA70YL4HCM,0
25,14.68055910357458,367.01397758936446,Standard,Bank transfer,1,TV Shows,1,TV,14.511512165103603,122.7981832592693,24,Drama,2.898327886528814,0,Male,5,0,RR7DWPO17O,0
92,14.776023905141212,1359.3941992729915,Premium,Credit card,1,Movies,0,Mobile,6.164060982550646,96.45780218698702,30,Drama,1.8982458871316648,3,Male,3,0,HBUU9YXPD0,0
80,12.169887642924763,1070.7162512219377,Basic,Bank transfer,0,TV Shows,1,unknown,17.35247004079642,35.435589839550794,12,Comedy,2.898327886528814,7,Male,0,1,OXNDMG3NC7,0
98,7.94007970919259,778.1278115008738,Standard,Credit card,1,TV Shows,0,Mobile,12.554392405429686,46.5674277837852,12,Comedy,2.4847051004952028,4,Male,21,1,GBJGLPXBR5,0
22,15.205564993669649,334.52242986073225,Basic,unknown,0,Both,0,Computer,2.7249972939554308,159.09360131207944,15,Fantasy,2.898327886528814,9,Male,11,1,PM332INSGW,0
19,6.521996932713357,614.1966063716278,Premium,Credit card,0,TV Shows,1,Computer,10.757916034652332,99.7233410991908,47,Drama,4.660409874831865,7,Male,11,0,KGZIUGKUB6,1
104,8.063300806759333,838.5832839029706,unknown,unknown,0,Both,0,Computer,11.753479113006614,109.113551655722,42,Comedy,4.36441915857977,1,Male,9,1,2DBPXLKT8K,0
85,12.169887642924763,1294.04700533529,Standard,Bank transfer,0,TV Shows,1,Mobile,15.655304055873184,81.58150329841074,27,Drama,2.080307514259071,9,Female,1,0,55VANP455P,0
62,19.156984627671672,1187.7330469156436,Standard,unknown,1,Both,1,TV,24.93478276959797,18.6057246782046,5,Drama,4.266681695700271,3,Female,13,1,3MBK6VMOCV,0
1,12.169887642924763,13.01210092215553,Premium,Bank transfer,1,Movies,0,unknown,25.073791634726145,52.56780586243679,28,Action,4.284239136762995,9,Female,12,0,UW8ES4IYMI,0
14,14.268111725937782,199.7535641631289,Premium,Electronic check,0,Both,0,Computer,11.248568751983774,62.58552280552126,34,unknown,2.876019105018504,3,Female,2,0,VPJBEYNWQS,1
31,17.245287882333926,534.6039243523517,Premium,Bank transfer,1,Movies,1,TV,28.835836887334413,145.01617575065148,42,Sci-Fi,2.898327886528814,8,Male,2,1,5YJC1ZTRTJ,1
86,11.729898655737578,1008.7712843934318,Basic,Credit card,1,TV Shows,0,TV,3.794326864539248,121.4418677441892,21,Fantasy,2.898327886528814,4,Male,5,0,HM6617H4JD,0
33,11.506819737723454,379.725051344874,Premium,Electronic check,1,Movies,0,unknown,23.772941097797805,169.57575794711633,9,Drama,2.8574832958943435,2,Female,23,1,O3LM1DJEII,0
49,8.357330395067056,409.5091893582857,unknown,Bank transfer,1,Movies,1,TV,35.839673743047,93.49504256792648,0,Fantasy,2.898327886528814,5,Male,19,0,2LZWV9RQL8,0
53,8.920732965150389,472.7988471529706,Standard,Bank transfer,0,Movies,1,TV,28.78212104313832,165.79541674753295,43,Comedy,4.858662580996414,0,Female,18,1,V7E9XNI9DF,0
63,9.631315044544966,606.7728478063328,Standard,Electronic check,1,Movies,1,Computer,9.49095715075722,11.837806998583426,16,Comedy,4.322046814619904,1,unknown,21,1,QHBAXJ9D6V,0
14,7.969210909385966,111.56895273140351,Premium,Bank transfer,1,Both,1,Computer,3.251119998800055,15.535141512655802,15,Comedy,2.210262189516649,7,Male,14,0,9C3BD8HX0R,1
26,12.169887642924763,338.28100550830595,Basic,Electronic check,0,Both,1,TV,31.794071232112564,116.06322243762814,35,Comedy,1.472555720792521,8,Female,7,1,DLTHWP80D3,0
2,16.125401389212946,614.1966063716278,Basic,Bank transfer,0,TV Shows,1,unknown,24.74981585981924,11.988765017280857,30,unknown,1.2248326147590491,2,Female,4,0,VK85180DSE,1
15,7.745146161144696,116.17719241717045,Premium,Electronic check,0,TV Shows,0,Tablet,22.5710430258967,155.52074908996784,40,Sci-Fi,4.120521121540612,9,Male,19,1,2P78X3TX9B,0
80,12.762559237031072,1021.0047389624858,unknown,Electronic check,0,Both,1,Computer,33.81220538514383,146.68215399903642,31,Fantasy,2.2521787780673628,9,Male,22,1,5CM0GI004I,0
93,13.580876198604964,1263.0214864702616,Basic,Electronic check,0,Both,0,Computer,22.00460464726173,114.89723449821854,43,Sci-Fi,4.529921641315267,4,Male,6,0,W2YUKP9QMF,0
28,12.169887642924763,614.1966063716278,Premium,Credit card,1,TV Shows,0,Mobile,37.76481999080919,96.31058633141733,30,unknown,2.898327886528814,2,unknown,6,1,V6CRGUK7OJ,0
87,6.800976410758331,591.6849477359748,unknown,unknown,1,Both,0,Computer,32.51290337287777,67.76475082097075,0,Action,2.7050433200408506,9,Male,12,1,JHYZISEKTU,0
58,12.169887642924763,1062.151084887055,Premium,unknown,1,TV Shows,0,Computer,6.1176464722420345,177.97499001868746,4,Sci-Fi,1.5459590401207093,8,Male,17,1,P3ZXPQP59E,0
94,7.489711342172975,704.0328661642596,Standard,Electronic check,0,TV Shows,1,Computer,20.264660460024245,116.68683250974044,18,Drama,2.898327886528814,4,Female,11,0,3U07QWB58B,0
52,12.169887642924763,797.3032724449764,Basic,unknown,1,TV Shows,0,TV,39.62781715118556,174.88358482869077,46,Comedy,3.426816130002326,8,Male,9,1,2O9NN81OX5,0
13,16.749766340499775,217.74696242649708,Standard,Electronic check,1,TV Shows,0,unknown,9.42680451784198,173.18631891920054,3,Action,1.2271980812273595,5,Male,5,0,UY02SJT9FM,0
20,12.169887642924763,396.4126392253672,unknown,Credit card,0,Both,0,Computer,17.021663801544207,160.97388792871337,18,Comedy,4.49573705466908,4,Female,8,0,SLTZTHJFZ9,1
103,16.514646857031412,1701.0086262742354,Premium,unknown,0,Both,0,Tablet,6.575285946461973,75.52050710701525,39,Sci-Fi,1.8762405774716693,1,Female,18,0,4R07E19QKU,0
62,12.169887642924763,842.7120724376942,Basic,Credit card,0,Both,0,TV,34.49848201108829,65.21043318193,30,Comedy,3.5478001635599026,4,Female,24,1,MH6D9EWVID,0
23,12.169887642924763,170.58034663839652,Standard,Mailed check,0,Both,1,TV,34.00190182214139,153.6770469787932,42,Sci-Fi,2.6129994825630742,9,Male,13,0,7HY2MOSDW6,0
65,18.27930491357521,1188.1548193823887,Standard,unknown,1,Movies,0,Mobile,31.138272354964933,141.43190722782916,30,Fantasy,2.898327886528814,9,Male,16,0,ZTOJZGRVC4,0
75,13.30898090330066,998.1735677475496,Basic,Bank transfer,0,Both,1,Mobile,24.31852704020134,119.33690525089314,47,unknown,3.0229185822407323,5,unknown,17,0,A931RZPGP2,0
43,7.680618304577466,330.2665870968311,Standard,Bank transfer,0,Both,0,unknown,18.286665215694097,149.80190601471733,39,unknown,1.4288137836055488,0,Male,19,0,R4SINC9IQZ,0
45,14.303487059125194,614.1966063716278,Premium,Credit card,1,Movies,1,Tablet,32.53521490963664,65.25669399818736,15,Drama,2.898327886528814,6,Female,5,0,7NXSSI06MN,0
48,18.780445107422267,901.4613651562688,Standard,Credit card,1,Movies,1,Computer,22.3039554734021,29.89036403580573,1,Drama,1.446495965163057,2,Male,1,0,DM6BMTS1AS,0
19,12.169887642924763,168.5997531115657,Basic,Electronic check,0,Both,0,Computer,38.61154741669043,143.30530521083986,8,Comedy,1.3895619220636126,8,Female,22,1,KBG5OB2YIW,0
